content
"Almost     people in Italy died from the coronavirus in a   -hour period between March    and   ,     "
"A doctor in Italy warned coronavirus wasn t just a bad flu. And he said: ""The situation is now nothing short of dramatic. No other words come to mind."""
Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases
The Chinese government is building a hospital in    days to deal with the new coronavirus
The Trump administration fired the U.S. pandemic response team in      to cut costs
"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families"
   People with coronavirus took on a plane to US with uninfected passengers
"Denver councilwoman Candi CdeBaca tweeted ""#solidarity"" in response to a post suggesting that, if infected with new coronavirus, a person would attend as many Trump rallies as possible"
"Congress has passed a US$ .  billion coronavirus response bill, which includes $ .  billion for the CDC to  prevent, prepare for, and respond to coronavirus, domestically or internationally. "
New York Governor Andrew Cuomo called the federal government s response to the coronavirus outbreak  absurd and nonsensical. 
"If you get sick with coronavirus, an U.S. government official in your community can make you stay home"
"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in     "
"Coronaviruses as a group are more susceptible to inactivation from ultraviolet radiation than other groups of viruses, like adenoviruses"
The coronavirus survive longer on metal surfaces
"We found that viable [COVID-  ] virus could be detected in aerosols up to   hours post aerosolization, up to   hours on copper, up to    hours on cardboard and up to  -  days on plastic and stainless steel"
Gargling helps stem the transmission of viral diseases that cause URTIs
A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb
A few McDonald's locations in North Carolina announced in March      that they will provide free lunches to school-age children as families deal with the spread of COVID-  
The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients
"A spokesperson for the World Health Organization said that fainting in this manner from coronavirus would be ""atypical."""
"Amid a nationwide COVID-   lockdown, Italians reported seeing wildlife such as swans and dolphins ""returning"" to newly tranquil waterways, ports, and canals"
"On March   ,     , actors Tom Hanks and Rita Wilson announced that they had been diagnosed with COVID-  , the disease caused by the coronavirus spreading around the globe, while they were abroad"
"Presidential nominating contests in the U.S. are being pushed back, and a $  trillion-plus U.S. economic rescue package is being negotiated"
"Supplies including protective gear, respirators and hand sanitizer are dwindling"
"A photograph posted on social media in March      shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese."""
The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people
USA Today published a front-page article about the development of a COVID-   vaccine the same day Kobe Bryant's death was reported
"Across a country where lines are long, some shelves are empty and patience is thin, authorities are receiving a surge of reports about merchants trying to cash in on the coronavirus crisis with outrageous prices, phony cures and other scams. An Associated Press survey of attorneys general or consumer protection agencies nationwide found reports already exceeded  ,   , with hundreds more arriving daily"
"Coronavirus layoffs spark surge in state jobless claims. In Ohio, more than   ,    people applied for jobless benefits in two days. The tally during the same period the prior week: just  ,   "
"Four Brooklyn Nets players, including Kevin Durant, have tested positive for the new coronavirus, bringing the total to seven known players in the NBA"
"WASHINGTON (AP)   A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official"
CBS News shut down its New York City headquarters for cleaning and disinfecting after two of its employees tested positive for coronavirus
Health officials confirmed another case of the novel coronavirus in Northern California
President Donald Trump called NBC News correspondent Peter Alexander a  terrible reporter  during a White House news briefing for asking what he would say to Americans who are scared about the coronavirus
New York Governor Andrew Cuomo announced he was directing all workers in nonessential business to stay home and banned gatherings statewide
"During the outbreak, business has more than doubled at the Winhall Market near Stratton Mountain Ski Resort in southern Vermont, as residents of New York and Boston pour in"
"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore"
"Monaco s head of state Prince Albert II contracts coronavirus. In a statement, the palace said Albert is continuing to work from his home office"
Elba is the latest high profile celebrity to have tested positive for the virus
"NY, NJ, Connecticut close bars, eateries to fight coronavirus. The governors of all three states said essential businesses such as supermarkets and gas stations will be able to stay open after   p.m. Monday, though all non-essential businesses must close. Restaurants will be able to offer take-out and delivery"
"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump s financial records"
"The coronavirus can live in the air for several hours, up to    hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it"
A second person who was at Mar-a-Lago with President Donald Trump has tested positive for coronavirus. That's according to a Republican official who spoke on condition of anonymity in order to discuss private health matters
Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $   billion for state and local governments to respond to the outbreak
Boston marathon postponed until Sept.    to prevent coronavirus spread
The novel coronavirus can live for two to three days on plastic and stainless steel
Disneyland closes as California rushes to battle coronavirus
Cristina Higgins authored a personal account about the spread of COVID-   in Italy
" We have friends who are getting sick. It s very stressful,  Higgins told NBC News over the phone from her home in Bergamo, where she, like everyone else, is under government-ordered home isolation, even though she and her family are not sick"
"Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, told the House Oversight and Reform Committee that COVID-   was at least     times as lethal  as the seasonal flu"
"Italy has restricted public gatherings and travel for all    million of its residents. Nonessential businesses such as restaurants and bars have been closed, and the country is encouraging social distancing. Food stores and pharmacies are about the only businesses that will be allowed to stay open until restrictions are lifted"
Intensive care units in Italy are operating at capacity
"If the numbers of contagion do not start to go down, the system, Italy, will collapse. Why? Today the ICUs in Lombardy are at capacity   more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down, the growth rate of contagion tells us that there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are    , or a      people who need the hospital and only a few ICU places left"
"NHL suspends season amid coronavirus pandemic. NHL Commissioner Gary Bettman said there are hopes of resuming the season, holding the playoffs and still handing out the Stanley Cup"
Broadway shuts its doors to prevent coronavirus spread
MLB delays opening day by at least   weeks because of coronavirus
NY fed to buy a range of treasurys to try to ease coronavirus jitters
US capitol closing to public until April amid coronavirus outbreak
NBA suspends season until further notice over coronavirus
WHO declares that coronavirus crisis is now a pandemic
Stocks plummet amid coronavirus fears and oil-price crash
President Donald Trump signed an $ .  billion measure to help tackle the coronavirus outbreak that has killed    people in the U.S. and infected more than    
"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus"
